Shape Factor,Solidity,Aspect Ratio,Extent,nu02,nu03,nu11,nu12,nu20,nu21,nu30,Hull defects,Line,Gesture
0.030477876009156333,0.8215232907922607,0.5636363636363636,0.5413958944281525,0.14202639733908998,-0.02254980291300873,-0.033802365532819505,0.008650261544126922,0.06265107975484561,-0.0013359412844464423,-0.001752097419145713,3,0,1
0.030270444390318008,0.8171318917574315,0.5714285714285714,0.5399290880060111,0.1416706043476211,-0.021731323430317053,-0.03481762769954785,0.00855587629386826,0.06320839791400198,-0.0015684845183480652,-0.001645554948949627,3,0,1
0.02943880599938957,0.8183167529553125,0.5652173913043478,0.5377996098104794,0.14313428416145527,-0.021498280708433713,-0.03517593560164959,0.00806812843347301,0.06270695760579666,-0.0015426886900958418,-0.001357785339090444,3,0,1
0.029341226933153466,0.8170794132702593,0.5652173913043478,0.5375557413600892,0.1426146266767046,-0.021533708956217004,-0.03550756636687467,0.008186523341704187,0.06321754611676324,-0.0016152350444852011,-0.0012765623565974917,3,0,1
0.028831062542608935,0.8180424362047088,0.5652173913043478,0.539053790412486,0.14333231112644604,-0.021664439058575898,-0.035849010050673626,0.00811028481240989,0.06313523296542073,-0.0016108743202887957,-0.0012247049048733885,3,0,1
0.02977689835352898,0.8157761613201459,0.5652173913043478,0.5430834262356001,0.14384831695530156,-0.02128297646843943,-0.03496244159688334,0.007968400951258508,0.062281532608477644,-0.0015299052082458574,-0.001423019537122302,3,0,1
0.0295743025204621,0.819505638115152,0.5407407407407407,0.5567732115677321,0.14745021202454744,-0.022791465262626053,-0.038791534559433995,0.011446545975736857,0.06414014905752198,-0.0038831312876781913,-0.0008821476261226371,3,0,1
0.030023165842497646,0.8188711665608307,0.5427509293680297,0.5581809848754902,0.14622897423379147,-0.022863538755270606,-0.03851599678042438,0.011365420008300453,0.06444728485967034,-0.003693498539928472,-0.001059394303324609,3,0,1
0.02942055041398465,0.8203282733866747,0.5407407407407407,0.5565829528158295,0.14716301407100996,-0.023365489325830813,-0.038828342141328125,0.01136731544982439,0.06442397291752472,-0.0036502946837786167,-0.0010612902940008422,3,0,1
0.029377802756930627,0.8185375670840788,0.5444444444444444,0.553363567649282,0.14693348596418893,-0.023551533631000928,-0.03890202844298608,0.011450769326509177,0.0645789447064422,-0.003633262064610421,-0.0010836357429140496,3,0,1
0.029623971279571785,0.806695631078667,0.5461847389558233,0.5400720529175526,0.14610187321274817,-0.02330091171376035,-0.0325182679240164,0.00862910567873304,0.06172765284025668,-0.0022563243196061537,-0.0009174606799977742,3,0,1
0.03276452026907547,0.8196362369684755,0.5,0.5719097222222222,0.16228400180700306,-0.041743078400355155,-0.033157133140537816,0.019677258372749667,0.0616855983735757,-0.0019414915532982237,-0.003655738765376588,1,0,1
0.03262128849010341,0.8295110551425181,0.48582995951417,0.5778171390013496,0.16549099740141765,-0.03892629123646552,-0.0338850136746022,0.019495549645319663,0.059484422763717314,-0.002851802711026999,-0.003178040384067964,1,0,1
0.029609819310745338,0.8248322737526733,0.42616033755274263,0.5880853908175627,0.18682576258485237,-0.028021494459557386,-0.03372826798319574,0.015703669178525188,0.04954058833890295,-0.004522548574430347,-0.001209311191825785,2,0,1
0.031818183416688434,0.8116164782494388,0.4870848708487085,0.5609415185060942,0.17114391605816634,-0.045711513298549625,-0.03891629045467108,0.0217265677387757,0.06145786929817375,-0.0034703417948102103,-0.0033935634023715506,1,0,1
